名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
孙栅子社区卫生服务站,医疗保健服务,综合医院,卫生院,017县道南50米,北京市,北京市,怀柔区,116.5092113,40.94738127
张秀梅民俗户,医疗保健服务,诊所,诊所,田营村25号,北京市,北京市,怀柔区,116.5254325,40.94560245
怀柔区喇叭沟门乡下河北村卫生室,医疗保健服务,诊所,诊所,017县道东100米,北京市,北京市,怀柔区,116.5501934,40.93424701
怀柔区喇叭沟门满族乡卫生院,医疗保健服务,综合医院,卫生院,喇叭沟门乡政府西侧50米,北京市,北京市,怀柔区,116.6153437,40.90109487
怀柔区喇叭沟门急救站,医疗保健服务,急救中心,急救中心,喇叭沟门满族乡喇叭沟门村北,北京市,北京市,怀柔区,116.6153477,40.90109087
喇叭沟门满族乡社区卫生中心,医疗保健服务,综合医院,卫生院,喇叭沟门村北,北京市,北京市,怀柔区,116.6151799,40.90111301
全新大药房(乐众堂药店),医疗保健服务,医药保健销售店,药房,京加路与庄喇路交叉口西北200米,北京市,北京市,怀柔区,116.616639,40.89777038
怀柔区喇叭沟门乡大甸子村卫生室,医疗保健服务,诊所,诊所,喇叭沟门,北京市,北京市,怀柔区,116.6452495,40.87327491
喇叭沟门满族乡畜牧兽医工作站,医疗保健服务,动物医疗场所,兽医站,喇叭沟门大甸子村委会附近,北京市,北京市,怀柔区,116.645442,40.87302878
长哨营乡残疾人康复服务指导站,医疗保健服务,医疗保健服务场所,医疗保健服务场所,京加路北100米,北京市,北京市,怀柔区,116.7008222,40.85438803
长哨营乡三道窝铺村卫生室,医疗保健服务,诊所,诊所,061乡道北50米,北京市,北京市,怀柔区,116.63045,40.82323868
碾子社区卫生服务站,医疗保健服务,综合医院,卫生院,宝碾公路北50米,北京市,北京市,怀柔区,116.4868439,40.80233388
怀柔区长哨营乡老沟门村卫生室,医疗保健服务,诊所,诊所,061乡道南50米,北京市,北京市,怀柔区,116.6692336,40.79803284
北京市怀柔区长哨营满族乡卫生院,医疗保健服务,综合医院,卫生院,京加路长哨营村政府北侧100米,北京市,北京市,怀柔区,116.7428902,40.79272856
全新大药房(乐群堂店),医疗保健服务,医药保健销售店,药房,京加路东50米,北京市,北京市,怀柔区,116.7424116,40.79203513
乐群堂(全新大药房),医疗保健服务,医药保健销售店,药房,京加路南50米,北京市,北京市,怀柔区,116.7423726,40.79202714
汤河口医务室,医疗保健服务,诊所,诊所,汤河口大街23号,北京市,北京市,怀柔区,116.636635,40.73471277
太阳神健康服务中心(汤河口大街),医疗保健服务,医药保健销售店,医疗保健用品,汤河口大街18号附近,北京市,北京市,怀柔区,116.6368735,40.73430769
怀柔区汤河口社区卫生服务中心,医疗保健服务,综合医院,卫生院,京加路西50米,北京市,北京市,怀柔区,116.6332571,40.73306322
乐宏堂大药房,医疗保健服务,医药保健销售店,药房,汤河口村汤河口大街19号,北京市,北京市,怀柔区,116.6373652,40.7349874
北京市怀柔区第二医院,医疗保健服务,综合医院,综合医院,汤河口镇汤河口大街5号,北京市,北京市,怀柔区,116.6396594,40.73583103
汤河口镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,汤河口镇汤河口大街5号,北京市,北京市,怀柔区,116.6396594,40.73583103
番字牌村社区卫生服务站,医疗保健服务,综合医院,卫生院,008县道与052乡道交叉口西南50米,北京市,北京市,密云区,116.8844177,40.73821297
怀柔区汤河口镇大黄塘村卫生室,医疗保健服务,诊所,诊所,京加路东50米,北京市,北京市,怀柔区,116.6348307,40.71578042
千家店镇沙梁子社区卫生服务站,医疗保健服务,综合医院,卫生院,千沙公路,北京市,北京市,延庆区,116.4511286,40.70361689
明和堂药店(东囤路),医疗保健服务,医药保健销售店,药房,滦赤路千家店镇政府东北,北京市,北京市,延庆区,116.3410555,40.6925578
明和堂药店(河南路),医疗保健服务,医药保健销售店,药房,河南路与滦赤路交叉口东南100米,北京市,北京市,延庆区,116.3467236,40.69227417
宝世堂药店,医疗保健服务,医药保健销售店,药房,宝山大街3号,北京市,北京市,怀柔区,116.5614608,40.6943462
怀柔区宝山镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,宝山大街125号,北京市,北京市,怀柔区,116.5602488,40.69461536
汤河口镇小黄塘村残疾人康复站,医疗保健服务,医疗保健服务场所,医疗保健服务场所,京加路西50米,北京市,北京市,怀柔区,116.6529609,40.69867835
怀柔区汤河口镇东弯子村卫生室,医疗保健服务,诊所,诊所,小中路东50米,北京市,北京市,怀柔区,116.6827187,40.69357351
北头居委会卫生室,医疗保健服务,诊所,诊所,古北口村主街100号,北京市,北京市,密云区,117.1576734,40.69536381
古口北村卫生室,医疗保健服务,诊所,诊所,古下线与101国道交叉口东150米,北京市,北京市,密云区,117.1579765,40.69112034
千家店镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,千家店镇千家店村,北京市,北京市,延庆区,116.3381062,40.69074138
延庆区动物检疫申报点,医疗保健服务,动物医疗场所,动物医疗场所,千沙公路与滦赤路交叉口西南200米,北京市,北京市,延庆区,116.3442799,40.6900339
怀柔区宝山镇盘道沟村卫生室,医疗保健服务,诊所,诊所,滦赤路,北京市,北京市,怀柔区,116.5758738,40.68868886
河西村卫生室(古下线),医疗保健服务,诊所,诊所,古下线北50米,北京市,北京市,密云区,117.1462207,40.6866663
密云县古北口镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,古北口镇北口村,北京市,北京市,密云区,117.1577445,40.68852572
北京市密云区古北口镇卫生院,医疗保健服务,综合医院,卫生院,古北口镇古北口村,北京市,北京市,密云区,117.1577445,40.68852572
密古扶生药店,医疗保健服务,医药保健销售店,药房,东横街与西横街交叉口西北100米,北京市,北京市,密云区,117.1578658,40.68775648
密云县古北口中医门诊,医疗保健服务,诊所,诊所,古下路与101国道交叉口东南100米,北京市,北京市,密云区,117.1573156,40.68905057
密云县医药(密古扶生药店),医疗保健服务,医药保健销售店,药房,西横街10号,北京市,北京市,密云区,117.1578918,40.68769757
新鑫口腔,医疗保健服务,专科医院,口腔医院,古北口村东横街10号,北京市,北京市,密云区,117.1587265,40.68710153
小叶蜂场,医疗保健服务,医药保健销售店,医疗保健用品,小中路附近,北京市,北京市,怀柔区,116.6814868,40.68025799
下营村卫生室,医疗保健服务,诊所,诊所,008县道东50米,北京市,北京市,密云区,116.9176798,40.67808452
